ID,Description,Class
221,I feel bad昨天還很囂張在講東講西甚麼毒親啦 好討厭剛又看了bojack horseman果然難過的時候就要看一下難過的東西有被撫慰到 又哭又笑 findfeel sad now甚麼事情都沒有發生馬克說無聲的抗議 不是抗議 就是無聲而已受夠了受不了了 病發作了 也沒人看見沒人關心終於演變躲在房間裡很久誰都不理 你們都給我滾這是有聲的抗議 只是蠢爆 但也是我薄弱能力所及的才不是像之前一樣乖乖如他們所願照他們所說 受他們影響毒親 哼--人的一生其實大部分都是灰色的        如果要太黑白分明那是會活得很辛苦--,0
222,離憂剩一顆安邦剩兩顆利平靜沒了腦樂靜剩四顆悠樂丁剩一顆以為學校宿舍的藥袋裡還有多的忘記上禮拜全放在小藥盒了昨天回診的藥藏在台中家裡的櫃子裡雞掰難得快發作想讓自己穩定下來就這樣這四天要怎麼度過好慌--,0
223,另一半憂鬱症已多年從不懂憂鬱症的我，讀了許多書和文章從看了幾篇版的文章就受不了到現在可以連續看很多篇我也不曉得這篇想表達什麼重點過去一直以來對憂鬱症有許多不解，過去的我國中就開始面對家人整天哭，債務還不完，每個月連利息都還不完，當時我完全找不到解決債務的方式，同時家人還生了一場重病，那段時間很灰色，我當時完全無法解決，睡覺也只能哭，但我不斷堅信一定有天可以撐過，一定可以海闊天空，絕對到前年所有債務還清，家人身體也慢慢康復為何憂鬱症的人卻沒辦法這樣想，看完許多文章和書籍知道他們沒辦法但許多問題從我的角度看又是都可以解決的但他不願意面對，更正確的說是不想解決不想面對即使我都已經找到解決方式，但他還是不想解決，他只是一昧覺得人生很累帶另一半看醫生許久，到現在靠藥物已經把情緒控制到很正常，但想法上無法靠藥物，需要靠治療師但另一半很固執，無法也不願意改變想法，治療師也沒則一路走來不斷把另一半的壓力源慢慢去除，但發現又會有新的壓力源身為憂鬱症的另一半確實會感到疲累，但我每次看到另一半睡覺沒有煩惱的樣子，我就好滿足，好喜歡看他睡覺希望他可以陪我走完這人生，一直憂鬱也沒關係，我有心理準備了，走到最後我希望他先過世，因為我知道他沒辦法承受我先過世的痛明天要繼續想辦法了，希望有天他想法可以轉變，但我知道很困難憂鬱症的親友辛苦了，憂鬱症的病友也辛苦了，你們也不願意這樣..晚安--,0
224,在沒有你的城市活得很好，只是常常幻想會在某個街角和你遇上。狀況沒有更好也沒有更差。常常看著夜空罵幾句很髒的髒話，終於明白，一直沒有解決恨的源頭，可是雖然恨著，好像也不太重要，總之，已經失去的，不會回來，而新的人生也適應得還可以。一個人並不快樂，但是還可以。淡淡的活著；用力去恨。總之不要死了。,0
225,雖然整年都在各種改變重整但還是莫名的養成了一些習慣？依賴著這些習慣保持平靜像是每天講很多話白天的時候總逼自己高速運轉在空隙的時間裡塞滿訊息從很多很多人的訊息塞滿對話框到只剩下一個人逼自己不要去想也是一種習慣一開始要用很多東西來強迫自己不想漸漸的反而變成很難去想只要思路一碰觸到那塊傷口的哪怕一點邊邊就像燒斷的電路線一樣立刻停機時常因此進入解離狀態還好對我來說這種強烈的失實感除了不舒服之外還沒有影響到工作解離的頻率漸漸降低了每次的時間縮短，程度下降漸漸變好了吧？如果可以這樣一直平靜的生活下去就好了......生活很硬，但久了也就習慣了現在的生活挺好的，很適合養病安安靜靜的這週是久違的休假週一打二連續6週破新記錄了但好像也達到極限值了......說也奇怪，我明明非常愛他們但是在休假週的這段時間卻很少想起他們以前會有的分離焦慮現在都不見了因此好像有種愧疚感不思念孩子好像就錯了？只能安慰自己對孩子來說也未必是壞事不要像母親那樣把人生的重量都放在孩子身上也好希望他們以後可以更加自由自在的飛翔我做自己多一點的話，他們也可以做自己更多一點吧累累的，習慣聽著誰的工作聲睡了鍵盤敲擊的聲音裝水的聲音偶爾說話的聲音突然改變了就好不習慣明明也不是每天但是想到暫時都不會有了就覺得哪裡怪怪的......--,0
226,工作壓力、家庭壓力、人際壓力、經濟壓力這陣子各種壓力堆疊在一起到達崩潰邊緣本來就已經很不穩定的躁期又因為同事跟底下員工還有客人變的更嚴重擔心東擔心西，又快被這些小事氣瘋氣完陷入深深的歇斯底里跟無奈但前天晚上，我把手機丟在一邊跑遊戲一邊在我的小世界裡發呆思考一些我可能一輩子沒有答案的問題順便想了一下錢的問題可能要賣掉我很喜歡的那些衣服鞋子我拿起塔羅牌抽了一張是逆位的正義叫我理性下決定好吧，那我試著寫出來看看稍微計算了一下之後心裡有個聲音「其實事情沒有那麽嚴重的」突然一瞬間整個人輕了好多只是很簡單的一句話幾乎就像鑰匙一樣把我的門鎖打開了那晚我比平常安心的睡了一覺雖然還是只睡了一點點但格外安心，而且沒有惡夢「其實事情沒有那麼嚴重的」希望往後的我還能繼續相信這句話慢慢走下去很開心在上一篇文章版友的推文告訴我關心自己的方式我想我找到了一點點方向雖然隔天去上班馬上就又爆掉了XDDD但至少有一點點進展了我一個人一點點往前爬，沒關係的,0
227,看不下去一些網友網友對憂鬱症患者的誤解及混淆在某篇關於毒親的發表心得下看到有人有感而發說感覺成家是個風險很高的行為(我懂他害怕步入婚姻是怕自己把悲劇代代相傳下去)下面有人回覆 特別對方在婚前已經開始在精神科治療而從未提及又有人再接力回答 他的朋友跟她先生結婚 再一起多年 都不知道有精神疾病結果結婚不久 憂鬱症病發且外遇 身心俱疲就離婚對我真的當下就很爆氣我懂那些因為害怕而有這些不理解的言論出現但是還是該講的要講 本來是不想回覆的憂鬱症不講出來有可能是因為自保 講出來就被另眼相看當然在交往時就可以講出來自己憂鬱症患者 不講清楚是錯的 對對方不公平就讓對方去做選擇 要留下或離開 這才公平 不然就是欺騙隱瞞而且也不要把自己做錯事情用憂鬱症當藉口 例如外遇要分清楚這兩件事情  他有憂鬱症沒錯 但他外遇也是做錯事上面兩件事情 就有種言下之意 憂鬱症患者就不能做甚麼也不要認為有憂鬱症就不能工作 不能結婚 不能生孩子就像你得了感冒或身有殘疾腿斷掉 你會叫病患不要工作不要結婚不要生小孩嗎我覺得就是很不理解的人在那邊歧視憂鬱症患者的言論無知愚蠢 也不知道自己更造成憂鬱症患者二度傷害然後還理直氣壯 這點就讓人不爽把憂鬱症跟做的事情(做錯了)兩件不同的事情混為一談不要用合理化那些的不合理 很多人都會這樣憂鬱症患者有權利可以做任何事情好嗎沒有人有這個權利去限制別人的自由這是歧視是攻擊 就像吳宗憲說憂鬱症患者就是不知足他馬的 超級不爽的啦我們能做的事情就是先好好陪伴自己 療癒自己 聆聽自己 認識自己 愛自己把自己過得好好的 先面對自己 讓傷痛不要再延續下去這是原本那篇心得文的用意結果下面就看到這些歪樓的言論就知道這個社會還是有多不是很理解的人但WHO CARE 管他們去死 有攻擊力就嗆爆他們YA 爽啦 雖然人際關係可能會變極差就是忍不住嘴巴--人的一生其實大部分都是灰色的        如果要太黑白分明那是會活得很辛苦--,0
228,"鼓起勇氣幾天後要去看醫生，但覺得現在疫情很嚴重忽然很想取消,但初診就取消不知道會不會被黑名單....有點苦惱--",0
229,喔 心情又變好了 跟朋友抒發一下昨天的悲傷心情劈哩啪啦聊超多聊超多聊超多昨晚睡前一直聞到臭味 發現是被單好臭 很久沒洗的味道就是自己洗澡沒洗味道 太噁 終於發現要去洗這種發現生活中小細節 有覺察是件好事或是其實知道但就不想去解決 不是不願意是我無法(不想)然後我終於打掃了啦 地板是萬年頭髮灰塵地毯邊聽著廣播邊打掃我能去做這件事 我想去做這件事情雖然是兩件微不足道的小小小事情 但還是值得自己給自己掌聲鼓勵鼓勵昨晚睡前會想事情 就覺得自己像是一團火在每個不同的階段是不同狀態的火可能之前是森林大火失控狀態也可能是零星之火 很爆裂暴躁會不小心就燒到別人 也燒到自己讓自己受傷但也能當作火把 圍爐吃火鍋 人家壁爐中的爐火冬天帶來溫暖 飢餓的時候可以煮好吃的 或是照亮黑暗之處火這件事情有好的地方也有不好的地方像水能載舟也能覆舟火 就像是我的情緒化非常有感情的但也容易被感情影響很能感同身受也容易深受情緒困擾有同理心 但同情心泛濫時過於脆弱很能仗義執言 但又常常對事情暴怒沒耐心很容易被情緒勒索 被利用 被傷害但是火大起來也是能夠反擊的雖然可能會是兩敗俱傷 用一種愚蠢方式在還沒能夠掌控這個超能力 我要正面看待我的情緒化也就是這團火 之前 就是受傷不斷懂得處理自己的情緒能力 就是懂得去操縱這團火失不失控懂得看見自己的情緒 不評價 不批評 不否定 就在旁邊靜靜觀察要哭就哭 要生氣就生氣 要笑就笑 承認 對我就是生氣我就是失落 我就是難過 我現在就是爽 我現在好開心這些都是我的一部分 肯定這些情緒 負面還是正面這都是別人去定義的情緒沒有可被定義好或不好 他就是本身存在著 是正常的 是身而為人就是有七情六慾那些自我貶低 自我價值低落 自卑 自愧 認為都是自己的錯都是被他人所賦予的 可能是家人 學校老師 同學 同事 社會 等等嗎的 自己存在的本身就是價值我已經很不想再去討好誰誰誰包括父母已經誰理他們 誰要鳥他們他們就是沒有能力給出那些我要的 父母就是一坨屎(我弟剛跟我講的太貼切)父母就是煩死人的存在 討厭鬼 人生課題他們自己去玩吧 我要登出這個假面遊戲不跟他們玩了我要練習去操控我的超能力了剛剛我弟跑來跟我講話 恩是真實對到話NOT BAD 希望繼續保持下去雖然我弟是來跟我抱怨的 但還好是沒有把他的情緒帶給我FINE 幸好 不過我也沒在怕 好好道歉就好OK的然後瓜吉的人生晚長我要你廢言 邀請美秀集團的劉修齊及官勁剛就聊一些有的沒的 但其實很有甚麼的 好難講喔這集還蠻喜歡聽一些創作音樂人的某些價值觀跟想法音樂也是一種很面對自己的方式 很能啟發 很能發現自己 很能抒發自己也蠻愛聽音樂 但不專精就是 也很愛看電影 但也不專精也愛閱讀 但又沒有愛到如癡 就是沾到即可 也很久沒有閱讀了書 音樂 電影 是一種跟自己接觸的一種媒介可以看重但也不一定完全(懂我意思嗎)有好有壞 盡信書不如無書但是還是推薦多多接觸 有一定的好處已經跨出與真人對話了 慢慢來最近武漢肺炎真的可怕 造成恐慌阿就算自己都不出門 我爸讓一堆人來家裡開趴 也有很大的風險就是自己已經防得很嚴 但就輸在境外移入上我爸真是沒事找事做 搞到他自己這幾天身體不舒服不想被害到 怕 我現在體質很虛弱 很容易被病毒入侵聽說會造成全球六七成大感染 所以還是要勤洗手把自己身體練強一點 我現在都要注重自己飲食了自己弄一些健康的然後要開始做運動 自我管理做好 才能面對這一波疫情但也不用太怕 有年齡上得症狀不同 大多都是無症狀者或輕症所以才造成大感染 這次冠狀病毒真的非同小可西方國家的人也太慘了 現在 都太輕忽了而且醫療沒像台灣一樣便宜天佑全球--人的一生其實大部分都是灰色的        如果要太黑白分明那是會活得很辛苦--,0
230,在精神醫療系統服務也快一年了，服藥治療也從19歲到現在25了，每天不斷地找尋為何憂鬱的答案、如何緩解的方式，其實根本無法解決有情緒障礙的困擾，只是能夠多一點勇氣來接受吧所以堅定的想減藥、停藥，直到最近，主治醫師終於同意了，減的速度非常慢，千憂解，很有效，讓人想依賴，但我還年輕，這方法終究不是長久之計，我跟醫師說：「這跟毒品根本沒兩樣。」他戴著口罩，沒有任何語言及非語言的回應，只說了：「只能撐過去。」我也明白跟住院的病人相比，我的藥根本只是小兒科，但醫師聽到我減藥的日子，說我對藥的依賴性很強，需要減的非常慢，最近心情悶悶不樂、暴怒、易怒、食慾睡眠都不太佳、狂購物（然後後悔），也是只能靠BZD藥物來緩解，所以默默地又吃了一些，不然好難受工作，不再有了熱情，每天想登出這個領域，因為對我健康有害，但這也是我夢想的不是嗎？好矛盾，但我真的每天好痛苦、專注力不佳，沒心情去看病人，達不到想成為的自己，失落的日子久了，沒有期待，我不知道繼續下去有什麼意思，沒有執行的了的興趣，更放棄了上班前必須化妝，明天開始一定要再認真化妝了，至少讓每天有好的開始我得承認減藥的我，並不如前陣子穩定戴上面具的那個樣子（認真、上進的樣子）職業倦怠、荷爾蒙變化、病情不穩週期再度循環、國考壓力（沒心情全力衝刺準備），太多原因可能影響情緒，不想承認自己就是有病，只是性格吧！藥物是輔助的有效工具--,0
231,晚上十點應該會吃一顆，但不想每次都提早一小時醒來然後又睡不著。我還沒準備要寫的，到時候可能口述？是否依照版友說的這樣撐下去--,0
232,老天…刷新人生紀錄了…抗精神病藥真是…QQ雖然外表看起來只有50-55…但6開頭的數字還是讓我覺得不好受。,0
233,不知不覺的又躺了一個週末不知不覺的不知道浪費了幾個三天以上的連假不知不覺的又回來了多年沒去診所了，不知道要聊什麼才能領到藥為什麼診所總是只看診到週六中午？,0
234,最近在看狗血泰劇《鐵石心腸2019》，男主角小時候差點被富甲一方的繼母弄死，隱姓埋名長大後回頭報復。當然看仇人一敗塗地很有快感，但是恐怕復仇真的能讓人感到滿足的是讓始作俑者後悔並反省過去的行為吧。若非如此只能冤冤相報，心底永遠都不爽快，會浪費很多光陰求一個痛快而不得。,0
235,外面沒有太陽 我 躺在床上還沒吃東西 肚子好餓 動 不了了怎麼辦--好像免運 舒服,0
236,雖然由我自己來說有點那個 ，不過我原本是個很nice的人啦。所以我也不想要吐槽啊，可是就像蠢話不小心從你嘴巴掉出來一樣，我也不小心讓吐嘈的話從我嘴巴掉出來了。我們系館是水族箱嗎，怎麼養了隻水母？無腦就算了還會螫人。所以我也只能變成電鰻了。可惜水母神經構造太簡單(等等...它們有神經系統嗎？)，恐怕被電擊了也無感吧。--,0
237,今天和教練討論這件事，不免俗他又自戀地稱讚了自己一番，「我有長相、有錢有車有房有事業，還是這樣啊(單身)」的確如此，有時候努力到後面真的不知道為了什麼。重訓，為了維持身材或是舉起大重量，成功了然後呢？到後期不知道怎樣撐下去，後期的改變微乎其微，又非常困難。以遊戲比喻，角色等級很高後，升等很困難，多升一等不會強很多，但練等卻異常辛苦。有錢有房了，但還是形影孤單，教練條件非常好個性又積極，但他還是很孤獨。若我能達到他那樣的程度，便算是社會上很成功的人了吧？但達到了後，滿足感和快樂就能收穫嗎？常常會覺得徒然，我跟教練說「現在很少憂鬱，但是我沒有motivation阿，瘦下來玲瓏有致、有翹臀，那又如何？benefit在哪？我又不快樂。(多吃一點還可能快樂一下)」重要的是心靈，但不知道怎樣才能讓心覺得快樂，不要覺得一切都沒意義。如果變成所有人都會回頭的身材，我就會快樂了嗎？如果用才華讓人回頭、讓人喜歡我就會滿足了嗎？漂亮/有能力的人又不等於快樂的人。即使有想要的事物，但沒有也還好，擁有了也不會快樂多久。談戀愛蠻開心的，但最後總會歸於平淡，更慘的是會傷心。大概是沒有核心目標吧？過度自由沒有主線任務的遊戲，不知道要往哪去，方向和獎賞都不明的人生online，玩過很多過度自由的遊戲，最後都會不知道要幹嘛。大概快樂是從達成目標的過程中獲得的，缺乏目標的我，只覺得徒勞，想要登出。今天教練說「不知足說」也有點道理，其實我前幾天也這樣想。我四肢健全、頭腦不算太差、有爸媽、住處、不用憂慮食衣住行。假設我能從中得到心靈的滿足...但問題是我沒辦法，只有感恩但沒有快樂，或許這也是一種不知足吧？一定有處境更差的人拚死也想要我現在的生活。問題不是一句「你該知足」就能解決，認為被指正後就能做到的話也太天真了。我為了活下去，設定許許多多的關卡和目標，試著在這場遊戲中得到樂趣，但是常常遊戲玩一玩就膩了，沒有動力練等，渾渾噩噩的。即使所有我想要的物質得到了，我還是內心空乏的人。我奮鬥的目標都只是物質層面，心靈上的太困難了，像隱藏任務，連如何接任務、獎勵是什麼都不清楚。如果活著僅僅是為了解開哲學問題也罷了，我只想要快樂，想要期待新的一天到來，--以前會為了解開生命意義而看哲學書後來發現重點還是自己怎麼想別人給一個標準解答也不適合自己QQ還是無法感到滿足、幸福不過有人願意看我長長的廢話還願意迴響也是有一瞬的快樂 謝謝,0
238,"    最近喜歡聽這類不帶人聲的混音曲  融合管弦樂、史詩電影、電子音樂  特別這首,2分半左右副旋律轉折時充滿聖靈力量般恢弘與溫暖陽光的fu  人聲只聽外國少數幾個能聽的,但再好聽動聽都會聽膩  除掉人聲後,純淨的音樂感更美好耐聽  並沒憂鬱但也會聽這類音樂,是想得到激勵&振奮  而憂鬱的人或許能平衡掉負面感,得到平靜?--",0
239,既昨日的我又焦慮了本來是對換房間這件事情很害怕的但是在我弟的推波助瀾之下跟朋友的打氣告訴我沒事的 打一劑強心針最終還是鼓起勇氣試試看走出那第一步改變既有的習慣模式 會引起我一種對未知的焦慮及恐懼就算是一件對自己明明是很好的事情也不敢去嘗試我曾經形容自己就像從小被拴住的小象長大了有力氣掙脫繩子也不敢離開甚或者沒有被繩子綁住 仍然待在原地不走總認為自己沒有能力 沒有價值 沒有辦法也不想再失落不想再失望 更不想再嘗試受傷的心沒有去撫慰他 則內心永遠都在恐懼我沒有看見我自己在哭我就是假裝開心 笑給外面的人看 他們也只想看到這個我沒有安慰我自己在難過別人告訴我不准哭 我就乖乖不哭我沒有安撫我自己在生氣別人告訴我有甚麼好氣的呢?幹嘛生氣來懲罰自己生氣就是讓別人的過錯來懲罰自己(我媽媽常用這句話來睹我的嘴)這句話沒有錯 但有個前提是 情緒需要被看見 被抒發 被緩解 被聆聽而不是拿這句話來壓抑自己 當作逃避面對情緒的藉口甚至是加害者拿來對受害者講的 惹你生氣又叫你不要生氣這是一種欺負一種霸凌 一種諷刺我常常在講 我爸是主謀 我媽是幫兇我爸作一些狗屁倒灶的事情 讓我生氣跟我媽抱怨的話 我媽通常會合理化我爸的不合理甚至替我爸講話 明明就是不對的行為硬找個合理的藉口幫我爸粉飾太平然後我更受到打擊 我明明是找尋幫助的 卻頻頻遭受到打壓 是雙重打壓而且可能我爸還沒讓我那麼火大 是我媽的行為讓我更火大有時候問題不是在於你做了甚麼 而在於你沒做甚麼冷眼看著霸凌者默默不語 或是明明房間就有頭大象假裝看不見(以上大離題)我明明想講我今天很爽的事情回到換房間的事情真的是因為原本房間鄰近馬路對面又是便利商店 太吵了 耳朵有點痛終於忍了這麼多年我受夠了 忽然腦袋靈機一動我想改變行動之後 真的換來了我夢寐以求的安靜 甚至作夢都夢到換房間有多雀躍對於高度敏感的人 聲音氣味 溫度 甚至周遭的氛圍都可以被影響到也就是說很容易觀察到一些很細微的地方 然後不舒服會很放大我帶了我的熱敷墊 我帶了我無印的精油香芬機(很久沒用)我帶了我的書一個人的聖經(可是沒看在划手機) 就是一個讓我睡覺的地方就這樣我用了我的白色床單 本來我媽要舖花花綠綠的我根本就不喜歡 就如同房間窗簾事件對這件事情我很有情緒 為什麼都不被看見我喜歡白色的東西這件事情為什麼我媽不會先問一下? 就覺得馬的超煩我也把這件事情跟我弟講 窗簾事件 和床單事件我那時我弟有幫我講話 我自己也開玩笑地接一句可能會被鬼壓床我媽斥之以鼻 一如往常 不把我的話當話看雖然我看似開玩笑 但我是認真在這樣認為因為用了我不喜歡的顏色床單 會造成我情緒不好 然後心情不好就造成我壓力變大壓力變大就很容易被鬼壓床 我只是略過中間過程沒有講出來直接跳到鬼壓床 我媽會聽不懂 (誰管他懂不懂)反正我就說我要用我自己床單 (管他理不理解)一切都是自己熟悉的東西之後才放心安心的放下心中那塊大石頭明明是這麼一件小事情也能讓我覺得如此困難也如此開心 很容易因為小事情開心滿足天啊 房間真的好安靜 我心中充滿感激而且這件事情有一個象徵意義 捨棄掉我爸給我華麗裝潢昂貴的房間(監獄)等於是脫離我爸的掌控及利益條件式交換的愛是因為隔天早上我爸開我新房間的門想進來 幸好我是鎖著的我馬上跟我弟講 我弟回可能他不清楚有人在房裡我對這件事情超級有啟發的 發了一個長文給我弟我回我弟 沒跟我爸講 他可能會生氣喔?對我來說再漂亮 再昂貴 再華麗的牢房 他還是間牢房阿換房間這件事情沒跟我爸講 我爸覺得這間屋子的所有事情他都要掌控他爽在家抽菸就抽 他爽叫他豬朋狗友來開趴就來他硬要騎我的機車腳踏車 不借會不爽 氣噗噗本來空房間我爸是留給我弟的 可是我弟不想妥協 不想換 (超出我爸的掌控)現在換成是我去住那間空房間 我捨棄掉我爸自以為很好的房間(牢房)這也超出我爸的掌控範圍 所以他想進來新房間看的原因就是如此沒想到我現在超級會分析的 很會所以我才覺得我爸內心會不爽 可是他無法講出來 (誰理他阿)只要脫出我爸的掌控 我就是爽啦我當天睡得很好 窗簾遮光性也超好 又離廁所近又聞著香香的精油味 又沒有吵死人的噪音我做了一個夢 我夢到一個很歡在哭泣的女人他在跟我討甚麼東西 討我的注意力跟關注用他的情緒企圖影響我的選擇但我就是靜靜看著那個哭得聲嘶力竭的女人果決的關上了我的門不再被那個人絆住影響 當下我直接轉身離去 不帶走任何負擔情緒超棒的夢 好嗎 受到自己的夢鼓勵然後房間很好睡 超好睡的啦一早醒來划手機看到新聞底下有個不知道是五毛還是甚麼的在罵陳建仁副總統我就看不過去 就回應跟他鬥嘴一來一往小粉紅又回復的超快(我超欠關注的很需要這種)鬥到最後我就被小粉紅嗆 但嗆得我覺得很爽我又回嗆玻璃心巨嬰國的小粉紅 然後他就沒有回我了頓時覺得好失落喔 我本來覺得很歡樂的耶我的快樂就建築在那些小粉紅身上那樣樸實無華且枯燥小粉紅讓我度過一個開心地早上 我也一直自己逗樂我自己今天就是還蠻無聊的小日子 但是覺得快樂聽聽馬克信箱PODCAST 跟朋友聊天嘻嘻哈哈 跟小粉紅鬥鬥嘴洗衣服床單 洗澡加洗頭 聽聽音樂 打掃一下我爸依舊還是在樓下開趴 他還是一樣 但我改變了我的靈魂 我的眼睛開始看到不一樣的東西雖然還是跟焦慮共處 跟我內心的恐懼陪伴但我就是接納這些事情 情緒是我的一部分 我是情緒 情緒是我不求做一個完美的人 而是要做一個完整的人這幾天一直看到臉書上那些自己喜歡並追蹤的人寫了金句 不完美也是一種美重新愛自己 學習面對親情中受到的傷害 懂得原諒才能獲得解脫今天看到接接這樣寫的 他介紹一本書 我的家住著趕不走的怪物在講毒親這件事情 毒親是日本人最近談論的家庭傷人名詞意思是在成長過程中的小孩受到有毒害的親人迫害可能是控制狂父母 可能是沒給予任何照顧及愛的冷暴力父母就像你的孩子不是你的孩子那樣文好像太長 先這樣--人的一生其實大部分都是灰色的        如果要太黑白分明那是會活得很辛苦--,0
240,-買東西盡量少拿塑膠袋-使用天然產品(例如粗鹽、小蘇打、檸檬酸)自製清潔劑etc.，減少刺激性產品的使用-減少購物、選擇包裝輕便的商品-用棉條取代衛生棉，雖然還是無法避免的會製造垃圾，但相對比衛生棉帶給環境的衝擊來得小-剪開塑膠管/罐把產品用光，減少浪費-把三明治袋洗淨晾乾再利用-早餐店的餐袋用來裝垃圾和廚餘-落單的襪子當抹布-廚房紙巾擦完沒那麼髒的東西後(例如桌面)，再用來擦比較髒的東西(例地板)再丟掉-把塑膠瓶、紙製品、玻璃製品、塑膠餐盒沖洗乾淨和把能踩扁的踩扁後，收集起來回收=====================================常常覺得浴室很亂、東西很多，不完全是因為我本身東西就多，是因為有把垃圾分類再收集起來後一併拿到回收區的習慣，而這些回收品在儲藏時會佔空間。最近撿到個收納架，剛剛好塞進角落空間放回收物。現在我小小的回收區終於也能整整齊齊了。雖然照顧自己就已經很累了，但每次特意花時間/犧牲一點方便性多做一些而來減少對環境的污染，有一種照顧到地球、照顧到自己的感覺，還是會稍微有點自我感覺良好。前兩個月因為隔幾天才洗一次澡，所以水費吃驚的少。看來不洗澡也既環保又省錢呢 嘿嘿 (〃￣▽ ￣〃)>--,0
241,今天又是疲倦嗜睡的一天。晚上趴在巧拼上休息的時候，又萌生了不想洗澡的惰性。在猶豫今天要不要洗澡時，回想起憂鬱無力時衛生習慣不佳的生活，再想想洗完澡後的舒適清爽，就勉強自己爬起來，把房間“歸零”後(i.e.把今天的生活痕跡歸零、把今天弄亂的物品歸還原位)，再逼自己去洗澡。因為頭暈腿軟，在淋浴室站著洗相當辛苦，所以坐在小板凳上迅速洗完後，連水也沒刮就出來了。這篇是一邊吹頭髮一邊打完的。呼 好累吃完晚上的藥後終於能睡覺了_(」∠ ､ﾝ､)_zzZ晚安--,0
242,被英文文件從下午兩點轟炸到現在英文一直都是我的傷口忘不了那場私立學校的入學考，只認得26個字母的我，旁邊環伺著已經會寫英文作文的同齡者..因為父母說“反正以後學校會教，為什麼要去補習”小小年紀的我從此知道了人與人之間的起跑線從來不平等出社會的第一份工作遇到一個有錢人家的女孩，有著美國籍她說著一口人人稱羨的流利英文到處跟人炫耀“我大學聯考沒考好，家裡就要我去美國唸書，畢業以後又多留兩年在舅舅公司打工，因為舅舅說，這樣的時間才能講好mother tongue的英文”是的，她的大學聯考比我差多了，但她家裡有錢，又有美國籍，所以出國鍍金以後，她的起點幾乎是我的終點..嗯..每次修改英文文件苦手的時候都會想起這些故事..繼續加班--,0
243,開了一個頭 跑去看別的東西又分心了 很容易因為外在的環境被影響可能聲音 可能氣味 可能一個腳步聲 咳嗽聲可能溫度 可能肚子餓 可能氣氛 氛圍 可能冷暴力可能又很多的可能終於受不了房間鄰近大馬路的噪音耳朵也因為長期待在噪音環境中很痛終於也受不了這個被我爸從小裝潢的很多錢的房間討厭很花綠的大窗簾 討厭過於大窗戶 夏天很熱 冬天很冷我覺得我以為為我花錢裝潢這就是愛的表現其實金縷其外敗絮其內說好讓我挑選的窗簾樣式我挑了一款純白的結果卻是拿這個花綠的來塘塞我爸常常都這樣說話不算話我爸也以為花了這麼多錢就可以收買人心也常常去跟朋友炫耀 帶人參觀那挑選這個窗簾是我媽挑的完全就不是我的風格一是我爸說話不算話 可能價錢問題二是我媽幫我爸挑了一款我不喜歡的這兩夫妻要怎麼講他們才好??那當初就不要跟我承諾要給我選竟然是要選別的 也先問一下這個可不可以竟然選了個我最討厭的然後我就一直住在這個房間裡一直忍受著 所有的一切有一種很深的情緒在裡頭我爸以為的愛很物質性很膚淺 是一種條件式 是一種交換我媽也以為這是一種愛 互取所需 你主外 我主內 工具人概念我也以為這就是愛我的表現直到現在終於受不了了這些華麗的房間可以不要不符合人工學的桌子高度 不適合的大窗戶 吵雜的大馬路討厭的窗簾沒有遮光效果 這個多的不適合我忍到了現在這是我的斷捨離 我不要這些了我跟我弟說我要搬到三樓空房間我需要安靜的空間 也需要遠離二樓我爸房間他會在的空間有一天我會搬出去把原生家庭的束縛都拋開再也不要跟父母牽扯不清 界線設立去求得我自己的幸福快樂已哭--人的一生其實大部分都是灰色的        如果要太黑白分明那是會活得很辛苦--,0
244,半夜突然有吃東西噎到的感覺很像哽到東西藥丸黏在喉嚨的感覺但距離我吃東西已經過了十分鐘跑去喝水、吞嚥都無異常但是異物感還是存在想要去看醫生但是包包放在上班處早上起床說來就來的憂鬱但還是去了健身房要完成課表--,0
245,鼻涕倒流個鬼啊不太相信醫生診斷orz沒有任何感冒症狀阿沒有咳嗽、流鼻水、喉嚨痛耳朵痛等等主訴：喉嚨一直像哽到東西的感覺很不舒服他叫我吃藥 當然是感冒藥可是我覺得超不信任的...--,0
